event_name,project_name,start_date,ward_name,ward_code,audience
Ballot Facilitated Session - Carr Manor Community School ,01 - The Awakening,2022-11-01,Moortown,E05011405,
Ballot Facilitated Session - Chapel Allerton Primary School ,01 - The Awakening,2022-11-07,Chapel Allerton,E05011390,
Ballot Facilitated Session - Cobden Primary School,01 - The Awakening,2022-11-09,Farnley and Wortley,E05012648,
Ballot Facilitated Session - Cobden Primary School,01 - The Awakening,2022-11-10,Farnley and Wortley,E05012648,
Ballot Facilitated Session - Cobden Primary School,01 - The Awakening,2022-11-18,Farnley and Wortley,E05012648,
Ballot Facilitated Session - Cookridge Primary School,01 - The Awakening,2022-11-16,Weetwood,E05011413,
Ballot Facilitated Session - Holy Trinity CE Academy Rothwell,01 - The Awakening,2022-11-10,Rothwell,E05011410,
Ballot Facilitated Session - Holy Trinity CE Academy Rothwell,01 - The Awakening,2022-11-14,Rothwell,E05011410,
Ballot Facilitated Session - Holy Trinity CE Academy Rothwell,01 - The Awakening,2022-11-21,Rothwell,E05011410,
Ballot Facilitated Session - Holy Trinity CE Academy Rothwell,01 - The Awakening,2022-11-24,Rothwell,E05011410,
Ballot Facilitated Session - Manston Primary School,01 - The Awakening,2022-11-25,Cross Gates and Whinmoor,E05011391,
Ballot Facilitated Session - Middleton Primary School,01 - The Awakening,2022-11-03,Middleton Park,E05011404,
Ballot Facilitated Session - Middleton Primary School,01 - The Awakening,2022-11-04,Middleton Park,E05011404,
Ballot Facilitated Session - Middleton Primary School,01 - The Awakening,2022-11-14,Middleton Park,E05011404,
Ballot Facilitated Session - Pool in Wharfedale CE (VC) Primary School,01 - The Awakening,2022-11-18,Adel and Wharfedale,E05012841,
Ballot Facilitated Session - Pool in Wharfedale CE (VC) Primary School,01 - The Awakening,2022-11-21,Adel and Wharfedale,E05012841,
Ballot Facilitated Session - Springwell Academy ,01 - The Awakening,2022-11-21,Killingbeck and Seacroft,E05011400,
Ballot Facilitated Session - Springwell Academy ,01 - The Awakening,2022-11-22,Killingbeck and Seacroft,E05011400,
Ballot Facilitated Session - St Margarets Primary School,01 - The Awakening,2022-11-22,Horsforth,E05011547,
Ballot Facilitated Session - St Margarets Primary School,01 - The Awakening,2022-11-22,Horsforth,E05011547,
Ballot Facilitated Session - St Margarets Primary School,01 - The Awakening,2022-11-24,Horsforth,E05011547,
Ballot Facilitated Session - St Margarets Primary School,01 - The Awakening,2022-11-25,Horsforth,E05011547,
Ballot Facilitated Session - St Oswald's C of E Primary School,01 - The Awakening,2022-11-17,Guiseley and Rawdon,E05011395,
Creation Station	LCC Printworks Campus,01 - The Awakening,2022-10-05,Middleton Park,E05011404,
Creation Station	Leeds Art Gallery,01 - The Awakening,2022-10-25,Little London and Woodhouse,E05011403,
Creation Station	Leeds Art Gallery,01 - The Awakening,2022-10-26,Little London and Woodhouse,E05011403,
Creation Station	Lotherton Hall,01 - The Awakening,2022-10-23,Harewood,E05011396,
Creation Station	Middleton Primary School,01 - The Awakening,2022-11-03,Middleton Park,E05011404,
Creation Station	Trinity Bridge ES4,01 - The Awakening,2022-10-08,Little London and Woodhouse,E05011403,
Creation Station	Trinity Bridge ES4,01 - The Awakening,2022-11-06,Little London and Woodhouse,E05011403,
Creation Station	Trinity Bridge ES4,01 - The Awakening,2022-11-12,Little London and Woodhouse,E05011403,
Creation Station	Trinity Bridge ES4,01 - The Awakening,2022-11-13,Little London and Woodhouse,E05011403,
Creation Station	Trinity Bridge ES4,01 - The Awakening,2022-11-19,Little London and Woodhouse,E05011403,
Creation Station	Trinity Bridge ES4,01 - The Awakening,2022-11-20,Little London and Woodhouse,E05011403,
"Creation Station	UoL, Riley Smith Theatre",01 - The Awakening,2022-10-18,Little London and Woodhouse,E05011403,
Creation Station	White Rose,01 - The Awakening,2022-10-15,Morley North,E05011406,
Creation Station	White Rose,01 - The Awakening,2022-10-28,Morley North,E05011406,
Creation Station	White Rose,01 - The Awakening,2022-10-30,Morley North,E05011406,
Creation Station	White Rose,01 - The Awakening,2022-11-05,Morley North,E05011406,
Creation Station	White Rose,01 - The Awakening,2022-11-06,Morley North,E05011406,68.0
Creation Station	White Rose,01 - The Awakening,2022-11-12,Morley North,E05011406,
Creation Station	White Rose,01 - The Awakening,2022-11-13,Morley North,E05011406,
Creation Station	White Rose,01 - The Awakening,2022-11-19,Morley North,E05011406,
Creation Station - Inner North East Youth Summit ,01 - The Awakening,2022-11-08,Little London and Woodhouse,E05011403,
Creation Station - Inner South Youth Summit ,01 - The Awakening,2022-11-08,Little London and Woodhouse,E05011403,
Creation Station - Kirkgate Market ,01 - The Awakening,2022-11-25,Little London and Woodhouse,E05011403,
Creation Station - LBU School of Cultural Studies ,01 - The Awakening,2022-10-31,Little London and Woodhouse,E05011403,
Creation Station - Leeds Art Gallery (Meet and Make),01 - The Awakening,2022-11-18,Little London and Woodhouse,E05011403,
Creation Station - Leeds City College ,01 - The Awakening,2022-10-31,Little London and Woodhouse,E05011403,
Creation Station - Leeds City Council ,01 - The Awakening,2022-11-23,,,
Creation Station - Leeds City Council ,01 - The Awakening,2022-11-24,,,
Creation Station - Leeds City Council Creative Fair ,01 - The Awakening,2022-11-17,Little London and Woodhouse,E05011403,
Creation Station - Leeds City Museum,01 - The Awakening,2022-10-27,Little London and Woodhouse,E05011403,
Creation Station - Leeds Trinity University ,01 - The Awakening,2022-11-21,Horsforth,E05011547,
Creation Station - Leeds Trinity University ,01 - The Awakening,2022-11-22,Horsforth,E05011547,
Creation Station - Leeds Trinity University ,01 - The Awakening,2022-11-23,Horsforth,E05011547,
