actual_audience_size_number_of_participants_in_person,actual_audience_size_number_of_participants_online,airtable_id,end_date,event_name,event_type,event_unique_identifier,number_of_booked_participants,postcode_(from_venue),project_name,project_type,season,start_date,status,ticket_tailor_id,ward_(from_venue)
,,1316,2022-06-08,Yorkshire Mafia Networking Event,['Cultivation Event'],: Yorkshire Mafia Networking Event,,,,,['2022 activity'],2022-06-08,01 - Greenlit,,
,,1317,2022-06-15,The Reliance Cultivation Dinner,['Cultivation Event'],: The Reliance Cultivation Dinner,,,,,['2022 activity'],2022-06-15,01 - Greenlit,,
25.0,,1521,,Neighbourhood Host Recruitment ,['CLE - Community Engagement session'],12 - My LEEDS 2023: Neighbourhood Host Recruitment ,,['LS10 1NE'],12 - My LEEDS 2023,Produce (Signature),['Season 2 - Playing'],2022-08-31,01 - Greenlit,,['Hunslet and Riverside']
25.0,,1527,,Neighbourhood Host Recruitment ,['CLE - Community Engagement session'],12 - My LEEDS 2023: Neighbourhood Host Recruitment ,,['LS10 1NE'],12 - My LEEDS 2023,Produce (Signature),['Season 2 - Playing'],2022-09-01,01 - Greenlit,,['Hunslet and Riverside']
25.0,,1528,,Neighbourhood Host Recruitment ,['CLE - Community Engagement session'],12 - My LEEDS 2023: Neighbourhood Host Recruitment ,,['LS10 1NE'],12 - My LEEDS 2023,Produce (Signature),['Season 2 - Playing'],2022-09-05,01 - Greenlit,,['Hunslet and Riverside']
14.0,,968,2022-09-13,Young Creatives Audition,['CLE - Youth Voice session'],07 - Children's Day: Young Creatives Audition,12.0,['LS10 1NE'],07 - Children's Day,Produce (Signature),"['2022 activity', 'Season 2 - Playing']",2022-09-13,01 - Greenlit,,['Hunslet and Riverside']
11.0,,972,2023-09-18,Young Creatives Workshops,['CLE - Youth Voice session'],07 - Children's Day: Young Creatives Workshops,12.0,['LS10 1NE'],07 - Children's Day,Produce (Signature),"['2022 activity', 'Season 2 - Playing']",2022-09-20,01 - Greenlit,,['Hunslet and Riverside']
364.0,,953,,Creation Station -Trinity Landing,['CLE - Community Engagement session'],01 - The Awakening: Creation Station -Trinity Landing,,['LS1 5AT'],01 - The Awakening,Produce (Signature),,2022-09-23,01 - Greenlit,,['Little London and Woodhouse']
108.0,,954,,Creation Station - Trinity Landing & Bridge,['CLE - Community Engagement session'],01 - The Awakening: Creation Station - Trinity Landing & Bridge,,['LS1 5AT'],01 - The Awakening,Produce (Signature),['Season 1 - Awakening'],2022-09-24,01 - Greenlit,,['Little London and Woodhouse']
104.0,,955,,Creation Station- Leeds Train Station,['CLE - Community Engagement session'],01 - The Awakening: Creation Station- Leeds Train Station,,['LS1 4DY'],01 - The Awakening,Produce (Signature),['Season 1 - Awakening'],2022-09-24,01 - Greenlit,,['Hunslet and Riverside']
20.0,,753,,Leeds Train Station - Creation Station,['CLE - Community Engagement session'],01 - The Awakening: Leeds Train Station - Creation Station,,['LS1 4DY'],01 - The Awakening,Produce (Signature),['Season 1 - Awakening'],2022-09-24,01 - Greenlit,,['Hunslet and Riverside']
103.0,,2466,,Creation Station- Leeds Train Station,['CLE - Community Engagement session'],01 - The Awakening: Creation Station- Leeds Train Station,,['LS2 9JT'],01 - The Awakening,Produce (Signature),['Season 1 - Awakening'],2022-09-28,01 - Greenlit,,['Little London and Woodhouse']
52.0,,960,,Creation Station - White Rose,['CLE - Community Engagement session'],01 - The Awakening: Creation Station - White Rose,,['LS11 8LU'],01 - The Awakening,Produce (Signature),,2022-10-01,01 - Greenlit,,['Morley North']
65.0,,746,2022-11-13,White Rose - Creation Station ,['CLE - Community Engagement session'],01 - The Awakening: White Rose - Creation Station ,,['LS11 8LU'],01 - The Awakening,Produce (Signature),"['2022 activity', 'Season 1 - Awakening']",2022-10-01,01 - Greenlit,,['Morley North']
22.0,,961,,Creation Station	LBU Events Futures Conference 2022,['CLE - Community Engagement session'],01 - The Awakening: Creation Station	LBU Events Futures Conference 2022,,,01 - The Awakening,Produce (Signature),,2022-10-04,01 - Greenlit,,
33.0,,1519,2023-12-31,Neighbourhood Host Training Sessions ,['CLE - Community Engagement session'],12 - My LEEDS 2023: Neighbourhood Host Training Sessions ,,['LS10 1NE'],12 - My LEEDS 2023,Produce (Signature),"['Season 1 - Awakening', 'Season 2 - Playing', 'Season 3 - Dreaming']",2022-10-04,01 - Greenlit,,['Hunslet and Riverside']
34.0,,962,,Creation Station	LCC Printworks Campus,['CLE - Community Engagement session'],01 - The Awakening: Creation Station	LCC Printworks Campus,,['LS10 4HU'],01 - The Awakening,Produce (Signature),['Season 1 - Awakening'],2022-10-05,01 - Greenlit,,['Middleton Park']
246.0,,964,,Creation Station	Trinity Bridge ES4,['CLE - Community Engagement session'],01 - The Awakening: Creation Station	Trinity Bridge ES4,,['LS1 5AT'],01 - The Awakening,Produce (Signature),['Season 1 - Awakening'],2022-10-08,01 - Greenlit,,['Little London and Woodhouse']
42.0,,965,,Creation Station	Light Night Leeds Market,['CLE - Community Engagement session'],01 - The Awakening: Creation Station	Light Night Leeds Market,,['LS2 7HY'],01 - The Awakening,Produce (Signature),,2022-10-13,01 - Greenlit,,['Little London and Woodhouse']
72.0,,966,,Creation Station	Light Night Leeds Market,['CLE - Community Engagement session'],01 - The Awakening: Creation Station	Light Night Leeds Market,,['LS2 7HY'],01 - The Awakening,Produce (Signature),,2022-10-14,01 - Greenlit,,['Little London and Woodhouse']
126.0,,967,,Creation Station	White Rose,['CLE - Community Engagement session'],01 - The Awakening: Creation Station	White Rose,,['LS11 8LU'],01 - The Awakening,Produce (Signature),['Season 1 - Awakening'],2022-10-15,01 - Greenlit,,['Morley North']
22.0,,969,,"Creation Station	UoL, Riley Smith Theatre",['CLE - Community Engagement session'],"01 - The Awakening: Creation Station	UoL, Riley Smith Theatre",,['LS2 9JZ'],01 - The Awakening,Produce (Signature),['Season 1 - Awakening'],2022-10-18,01 - Greenlit,,['Little London and Woodhouse']
52.0,,970,,Creation Station	Trinity Bridge ES4,['CLE - Community Engagement session'],01 - The Awakening: Creation Station	Trinity Bridge ES4,,['LS1 5AT'],01 - The Awakening,Produce (Signature),,2022-10-22,01 - Greenlit,,['Little London and Woodhouse']
24.0,,971,,Creation Station	Lotherton Hall,['CLE - Community Engagement session'],01 - The Awakening: Creation Station	Lotherton Hall,,['LS25 3EB'],01 - The Awakening,Produce (Signature),['Season 1 - Awakening'],2022-10-23,01 - Greenlit,,['Harewood']
48.0,,973,,Creation Station	Leeds Art Gallery,['CLE - Community Engagement session'],01 - The Awakening: Creation Station	Leeds Art Gallery,,['LS1 3AA'],01 - The Awakening,Produce (Signature),['Season 1 - Awakening'],2022-10-25,01 - Greenlit,,['Little London and Woodhouse']
34.0,,975,,Creation Station	Leeds Art Gallery,['CLE - Community Engagement session'],01 - The Awakening: Creation Station	Leeds Art Gallery,,['LS1 3AA'],01 - The Awakening,Produce (Signature),['Season 1 - Awakening'],2022-10-26,01 - Greenlit,,['Little London and Woodhouse']
70.0,,976,,Creation Station	Leeds City Museum,['CLE - Community Engagement session'],01 - The Awakening: Creation Station	Leeds City Museum,,['LS2 8BH'],01 - The Awakening,Produce (Signature),,2022-10-26,01 - Greenlit,,['Little London and Woodhouse']
71.0,,997,,Creation Station - Leeds City Museum,['CLE - Community Engagement session'],01 - The Awakening: Creation Station - Leeds City Museum,,['LS2 8BH'],01 - The Awakening,Produce (Signature),['Season 1 - Awakening'],2022-10-27,01 - Greenlit,,['Little London and Woodhouse']
44.0,,996,,Creation Station - The Tetley ,['CLE - Community Engagement session'],01 - The Awakening: Creation Station - The Tetley ,,['LS10 1JQ'],01 - The Awakening,Produce (Signature),['Season 1 - Awakening'],2022-10-27,01 - Greenlit,,['Hunslet and Riverside']
78.0,,1002,,Creation Station	White Rose,['CLE - Community Engagement session'],01 - The Awakening: Creation Station	White Rose,,['LS11 8LU'],01 - The Awakening,Produce (Signature),['Season 1 - Awakening'],2022-10-28,01 - Greenlit,,['Morley North']
35.0,,999,,Creation Station - Temple Newsam ,['CLE - Community Engagement session'],01 - The Awakening: Creation Station - Temple Newsam ,,['LS15 0AE'],01 - The Awakening,Produce (Signature),['Season 1 - Awakening'],2022-10-29,01 - Greenlit,,['Temple Newsam']
3.0,,782,2022-11-06,National Retrospective International Artist Residency - Xabiso Vili,['Residency / R&D'],06 - International Commissions: National Retrospective International Artist Residency - Xabiso Vili,,['LS9 7EH'],06 - International Commissions,Produce (Signature),"['2022 activity', 'Season 1 - Awakening']",2022-10-29,01 - Greenlit,,['Burmantofts and Richmond Hill']
35.0,,712,2022-06-11,White Rose - Ballot workshop,['CLE - Community Engagement session'],01 - The Awakening: White Rose - Ballot workshop,,['LS11 8LU'],01 - The Awakening,Produce (Signature),"['2022 activity', 'Season 1 - Awakening']",2022-10-29,01 - Greenlit,,['Morley North']
67.0,,1001,,Creation Station	White Rose,['CLE - Community Engagement session'],01 - The Awakening: Creation Station	White Rose,,['LS11 8LU'],01 - The Awakening,Produce (Signature),['Season 1 - Awakening'],2022-10-30,01 - Greenlit,,['Morley North']
41.0,,1000,,Creation Station - Temple Newsam ,['CLE - Community Engagement session'],01 - The Awakening: Creation Station - Temple Newsam ,,['LS15 0AE'],01 - The Awakening,Produce (Signature),['Season 1 - Awakening'],2022-10-30,01 - Greenlit,,['Temple Newsam']
37.0,,1013,,Creation Station - LBU School of Cultural Studies ,['CLE - Community Engagement session'],01 - The Awakening: Creation Station - LBU School of Cultural Studies ,,['LS1 3HE'],01 - The Awakening,Produce (Signature),['Season 1 - Awakening'],2022-10-31,01 - Greenlit,,['Little London and Woodhouse']
22.0,,1014,,Creation Station - Leeds City College ,['CLE - Community Engagement session'],01 - The Awakening: Creation Station - Leeds City College ,,['LS2 7BS'],01 - The Awakening,Produce (Signature),['Season 1 - Awakening'],2022-10-31,01 - Greenlit,,['Little London and Woodhouse']
57.0,,759,,Awakening Ballot Facilitated Session - School,['CLE - Creative Learning session'],01 - The Awakening: Awakening Ballot Facilitated Session - School,,[' LS17 5DJ'],01 - The Awakening,Produce (Signature),"['2022 activity', 'Season 1 - Awakening']",2022-11-01,01 - Greenlit,,['Moortown']
57.0,,1313,2022-11-01,Leeds Cultural Heritage: Carr Manor Community School,['CLE - Creative Learning session'],01 - The Awakening: Leeds Cultural Heritage: Carr Manor Community School,,,01 - The Awakening,Produce (Signature),['Season 1 - Awakening'],2022-11-01,01 - Greenlit,,
57.0,,760,,Awakening Ballot Facilitated Session - School,['CLE - Creative Learning session'],01 - The Awakening: Awakening Ballot Facilitated Session - School,,['LS10 4HU'],01 - The Awakening,Produce (Signature),"['2022 activity', 'Season 1 - Awakening']",2022-11-03,01 - Greenlit,,['Middleton Park']
23.0,,1016,,Creation Station - The Tetley ,['CLE - Community Engagement session'],01 - The Awakening: Creation Station - The Tetley ,,['LS10 1JQ'],01 - The Awakening,Produce (Signature),['Season 1 - Awakening'],2022-11-03,01 - Greenlit,,['Hunslet and Riverside']
,13.0,850,2022-11-03,Leeds Artist Show Schools Teacher CPD,['CLE - Creative Learning session'],Creative Learning S1: Leeds Artist Show Schools Teacher CPD,,['LS1 3AA'],Creative Learning S1,CLE,['Season 1 - Awakening'],2022-11-03,01 - Greenlit,,['Little London and Woodhouse']
169.0,,1328,2022-11-15,Leeds Cultural Heritage: Middleton Primary School,['CLE - Creative Learning session'],01 - The Awakening: Leeds Cultural Heritage: Middleton Primary School,,,01 - The Awakening,Produce (Signature),['Season 1 - Awakening'],2022-11-03,01 - Greenlit,,
,,1318,2022-11-03,The Tetley Cultivation Event,['Cultivation Event'],: The Tetley Cultivation Event,,,,,['2022 activity'],2022-11-03,01 - Greenlit,,
56.0,,761,,Awakening Ballot Facilitated Session - School,['CLE - Creative Learning session'],01 - The Awakening: Awakening Ballot Facilitated Session - School,,['LS10 4HU'],01 - The Awakening,Produce (Signature),"['2022 activity', 'Season 1 - Awakening']",2022-11-04,01 - Greenlit,,['Middleton Park']
71.0,,1003,,Creation Station	White Rose,['CLE - Community Engagement session'],01 - The Awakening: Creation Station	White Rose,,['LS11 8LU'],01 - The Awakening,Produce (Signature),['Season 1 - Awakening'],2022-11-05,01 - Greenlit,,['Morley North']
87.0,,716,,Trinity Bridge ES4 - Ballot workshop,['CLE - Community Engagement session'],01 - The Awakening: Trinity Bridge ES4 - Ballot workshop,,['LS1 5AT'],01 - The Awakening,Produce (Signature),"['2022 activity', 'Season 1 - Awakening']",2022-11-05,01 - Greenlit,,['Little London and Woodhouse']
57.0,,1008,,Creation Station	Trinity Bridge ES4,['CLE - Community Engagement session'],01 - The Awakening: Creation Station	Trinity Bridge ES4,,['LS1 5AT'],01 - The Awakening,Produce (Signature),['Season 1 - Awakening'],2022-11-06,01 - Greenlit,,['Little London and Woodhouse']
68.0,,1004,,Creation Station	White Rose,['CLE - Community Engagement session'],01 - The Awakening: Creation Station	White Rose,,['LS11 8LU'],01 - The Awakening,Produce (Signature),['Season 1 - Awakening'],2022-11-06,01 - Greenlit,,['Morley North']
60.0,,762,,Awakening Ballot Facilitated Session - School,['CLE - Creative Learning session'],01 - The Awakening: Awakening Ballot Facilitated Session - School,,['LS7 3PD'],01 - The Awakening,Produce (Signature),"['2022 activity', 'Season 1 - Awakening']",2022-11-07,01 - Greenlit,,['Chapel Allerton']
46.0,,801,2022-11-14,Leeds Artist Show Schools Workshop,['CLE - Creative Learning session'],Creative Learning S1: Leeds Artist Show Schools Workshop,,,Creative Learning S1,CLE,['Season 1 - Awakening'],2022-11-07,01 - Greenlit,,
60.0,,1314,2022-11-07,Leeds Cultural Heritage: Chapel Allerton Primary School,['CLE - Creative Learning session'],01 - The Awakening: Leeds Cultural Heritage: Chapel Allerton Primary School,,,01 - The Awakening,Produce (Signature),['Season 1 - Awakening'],2022-11-07,01 - Greenlit,,
36.0,,1017,,Creation Station - Inner South Youth Summit ,['CLE - Community Engagement session'],01 - The Awakening: Creation Station - Inner South Youth Summit ,,['LS1 1UR'],01 - The Awakening,Produce (Signature),['Season 1 - Awakening'],2022-11-08,01 - Greenlit,,['Little London and Woodhouse']
,,1319,2022-11-08,House of Lords Dinner,['Cultivation Event'],: House of Lords Dinner,,,,,['2022 activity'],2022-11-08,01 - Greenlit,,
96.0,,790,2022-11-16,Leeds Artist Show Schools Workshop,['CLE - Creative Learning session'],Creative Learning S1: Leeds Artist Show Schools Workshop,,,Creative Learning S1,CLE,['Season 1 - Awakening'],2022-11-08,01 - Greenlit,,
81.0,,800,2022-11-22,Leeds Artist Show Schools Workshop,['CLE - Creative Learning session'],Creative Learning S1: Leeds Artist Show Schools Workshop,,['LS9 7NP'],Creative Learning S1,CLE,['Season 1 - Awakening'],2022-11-08,01 - Greenlit,,['Burmantofts and Richmond Hill']
54.0,,763,,Awakening Ballot Facilitated Session - School,['CLE - Creative Learning session'],01 - The Awakening: Awakening Ballot Facilitated Session - School,,['LS12 5LA'],01 - The Awakening,Produce (Signature),"['2022 activity', 'Season 1 - Awakening']",2022-11-09,01 - Greenlit,,['Farnley and Wortley']
27.0,,1043,,Ballot Facilitated Session - Cobden Primary School,['CLE - Community Engagement session'],01 - The Awakening: Ballot Facilitated Session - Cobden Primary School,,['LS12 5LA'],01 - The Awakening,Produce (Signature),['Season 1 - Awakening'],2022-11-09,01 - Greenlit,,['Farnley and Wortley']
152.0,,1323,2022-11-18,Leeds Cultural Heritage: Cobden Primary School,['CLE - Creative Learning session'],01 - The Awakening: Leeds Cultural Heritage: Cobden Primary School,,,01 - The Awakening,Produce (Signature),['Season 1 - Awakening'],2022-11-09,01 - Greenlit,,
48.0,,764,,Awakening Ballot Facilitated Session - School,['CLE - Creative Learning session'],01 - The Awakening: Awakening Ballot Facilitated Session - School,,['LS12 5LA'],01 - The Awakening,Produce (Signature),"['2022 activity', 'Season 1 - Awakening']",2022-11-10,01 - Greenlit,,['Farnley and Wortley']
31.0,,784,2022-11-10,Leeds Artist Show Schools Workshop,['CLE - Creative Learning session'],Creative Learning S1: Leeds Artist Show Schools Workshop,,,Creative Learning S1,CLE,['Season 1 - Awakening'],2022-11-10,01 - Greenlit,,
64.0,,792,2022-11-22,Leeds Artist Show Schools Workshop,['CLE - Creative Learning session'],Creative Learning S1: Leeds Artist Show Schools Workshop,,,Creative Learning S1,CLE,['Season 1 - Awakening'],2022-11-10,01 - Greenlit,,
32.0,,786,2022-11-23,Leeds Artist Show Schools Workshop,['CLE - Creative Learning session'],Creative Learning S1: Leeds Artist Show Schools Workshop,,,Creative Learning S1,CLE,['Season 1 - Awakening'],2022-11-10,01 - Greenlit,,
7.0,,748,,Leeds Central Library - Creation Station,['CLE - Community Engagement session'],01 - The Awakening: Leeds Central Library - Creation Station,,['LS1 3AB'],01 - The Awakening,Produce (Signature),['Season 1 - Awakening'],2022-11-10,01 - Greenlit,,['Little London and Woodhouse']
133.0,,1325,2022-11-25,Leeds Cultural Heritage: Holy Trinity Church of England Academy,['CLE - Creative Learning session'],01 - The Awakening: Leeds Cultural Heritage: Holy Trinity Church of England Academy,,,01 - The Awakening,Produce (Signature),['Season 1 - Awakening'],2022-11-10,01 - Greenlit,,
23.0,,1326,2022-11-24,Leeds Cultural Heritage: Ingram Road Primary School,['CLE - Creative Learning session'],01 - The Awakening: Leeds Cultural Heritage: Ingram Road Primary School,,,01 - The Awakening,Produce (Signature),['Season 1 - Awakening'],2022-11-10,01 - Greenlit,,
30.0,,788,2022-11-18,Leeds Artist Show Schools Workshop,['CLE - Creative Learning session'],Creative Learning S1: Leeds Artist Show Schools Workshop,,,Creative Learning S1,CLE,['Season 1 - Awakening'],2022-11-11,01 - Greenlit,,
28.0,,804,2022-11-11,Leeds Artist Show Schools Workshop,['CLE - Creative Learning session'],Creative Learning S1: Leeds Artist Show Schools Workshop,,,Creative Learning S1,CLE,['Season 1 - Awakening'],2022-11-11,01 - Greenlit,,
49.0,,808,2022-11-25,Leeds Artist Show Schools Workshop,['CLE - Creative Learning session'],Creative Learning S1: Leeds Artist Show Schools Workshop,,['LS9 7PY'],Creative Learning S1,CLE,['Season 1 - Awakening'],2022-11-11,01 - Greenlit,,['Burmantofts and Richmond Hill']
107.0,,1009,,Creation Station	Trinity Bridge ES4,['CLE - Community Engagement session'],01 - The Awakening: Creation Station	Trinity Bridge ES4,,['LS1 5AT'],01 - The Awakening,Produce (Signature),['Season 1 - Awakening'],2022-11-12,01 - Greenlit,,['Little London and Woodhouse']
68.0,,1005,,Creation Station	White Rose,['CLE - Community Engagement session'],01 - The Awakening: Creation Station	White Rose,,['LS11 8LU'],01 - The Awakening,Produce (Signature),['Season 1 - Awakening'],2022-11-12,01 - Greenlit,,['Morley North']
59.0,,1010,,Creation Station	Trinity Bridge ES4,['CLE - Community Engagement session'],01 - The Awakening: Creation Station	Trinity Bridge ES4,,['LS1 5AT'],01 - The Awakening,Produce (Signature),['Season 1 - Awakening'],2022-11-13,01 - Greenlit,,['Little London and Woodhouse']
19.0,,1006,,Creation Station	White Rose,['CLE - Community Engagement session'],01 - The Awakening: Creation Station	White Rose,,['LS11 8LU'],01 - The Awakening,Produce (Signature),['Season 1 - Awakening'],2022-11-13,01 - Greenlit,,['Morley North']
56.0,,767,,Awakening Ballot Facilitated Session - School,['CLE - Creative Learning session'],01 - The Awakening: Awakening Ballot Facilitated Session - School,,['LS10 4HU'],01 - The Awakening,Produce (Signature),"['2022 activity', 'Season 1 - Awakening']",2022-11-15,01 - Greenlit,,['Middleton Park']
29.0,,768,,Awakening Ballot Facilitated Session - School,['CLE - Creative Learning session'],01 - The Awakening: Awakening Ballot Facilitated Session - School,,['LS16 7DH'],01 - The Awakening,Produce (Signature),"['2022 activity', 'Season 1 - Awakening']",2022-11-16,01 - Greenlit,,['Weetwood']
35.0,,1018,,Creation Station - Left Bank ,['CLE - Community Engagement session'],01 - The Awakening: Creation Station - Left Bank ,,['LS6 1LJ'],01 - The Awakening,Produce (Signature),['Season 1 - Awakening'],2022-11-16,01 - Greenlit,,['Headingley and Hyde Park']
29.0,,1324,2022-11-16,Leeds Cultural Heritage: Cookridge Primary School,['CLE - Creative Learning session'],01 - The Awakening: Leeds Cultural Heritage: Cookridge Primary School,,,01 - The Awakening,Produce (Signature),['Season 1 - Awakening'],2022-11-16,01 - Greenlit,,
26.0,,769,,Awakening Ballot Facilitated Session - School,['CLE - Creative Learning session'],01 - The Awakening: Awakening Ballot Facilitated Session - School,,['LS20 9BT'],01 - The Awakening,Produce (Signature),"['2022 activity', 'Season 1 - Awakening']",2022-11-17,01 - Greenlit,,['Guiseley and Rawdon']
