sector,stage,count
Construction,Cultivate,3
Construction,Identify,2
Construction,Research,12
Construction,Steward,3
Construction,Won,1
Consultancy,Research,3
Consultancy,Steward,2
Education,Steward,8
Engineering,Research,1
Fashion,Steward,1
Finance,Ask/Proposal,1
Finance,Cultivate,1
Finance,Lost,2
Finance,Negotiation,1
Finance,Plan,1
Finance,Research,6
Finance,Steward,2
Food And Beverage,Cultivate,1
Food And Beverage,Identify,1
Food And Beverage,Lost,1
Food And Beverage,Negotiation,1
Food And Beverage,Plan,1
Hospitality,Cultivate,3
Hospitality,Research,6
Law,Ask/Proposal,1
Law,Cultivate,3
Law,Identify,3
Law,Research,7
Law,Steward,2
Logistics,Research,2
Manufacturing,Research,5
Marketing,Cultivate,1
Media,Cultivate,2
Media,Plan,1
Media,Research,1
Media,Steward,1
Property And Real Estate,Ask/Proposal,2
Property And Real Estate,Cultivate,5
Property And Real Estate,Identify,2
Property And Real Estate,Lost,2
Property And Real Estate,Negotiation,1
Property And Real Estate,Research,20
Property And Real Estate,Steward,1
Property And Real Estate,Won,1
Recruitment,Research,1
Retail,Ask/Proposal,1
Retail,Cultivate,1
Retail,Lost,1
Retail,Plan,1
Retail,Research,2
Sport,Cultivate,1
Tech,Ask/Proposal,1
Tech,Cultivate,4
Tech,Lost,1
Tech,Plan,2
Tech,Research,18
Travel,Ask/Proposal,1
Travel,Cultivate,2
Travel,Lost,1
Travel,Research,1
Utilities,Cultivate,1
Utilities,Research,1
