date,audience,net_audience_growth,audience_gained,sent_messages_total,published_posts_total,received_messages_total,impressions,video_views,engagements,engagement_rate_per_impression,reactions,comments,shares,post_link_clicks,other_post_clicks,sent_posts_facebook,sent_comments_facebook,sent_private_messages_facebook,received_wall_posts_facebook,received_comments_facebook,received_private_messages_facebook,sent_ad_posts_facebook,received_ad_comments_facebook,sent_ad_comments_facebook
2021-01-01,2855,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,2855,0,0,1,1,0,258,0,9,3.49,0,0,1,7,1,1,0,0,0,0,0,0,0,0
2021-01-03,2855,0,0,0,0,0,69,0,2,2.9,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2021-01-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-05,2855,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-06,2855,0,0,0,0,1,32,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2021-01-07,2857,2,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-08,2857,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-09,2857,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-10,2857,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-11,2858,1,0,1,1,1,543,1,44,8.1,25,0,1,0,18,1,0,0,1,0,0,0,0,0
2021-01-12,2858,0,0,0,0,0,61,0,3,4.92,0,0,0,0,3,0,0,0,0,0,0,0,0,0
2021-01-13,2858,0,0,0,0,1,43,0,1,2.33,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2021-01-14,2859,1,0,0,0,0,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-15,2859,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-16,2859,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-17,2858,-1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
