date,audience,net_audience_growth,audience_gained,sent_messages_total,published_posts_total,received_messages_total,impressions,video_views,engagements,engagement_rate_per_impression,reactions,comments,saves,sent_posts_instagram,sent_stories_instagram,sent_comments_instagram,received_comments_instagram,received_mentions_instagram,received_media_tags_instagram,sent_direct_messages_instagram,received_direct_messages_instagram,sent_reels_instagram
2021-01-01,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-02,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-03,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-04,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-01-05,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-01-06,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-07,0,0,0,0,0,1,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-01-08,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-09,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-01-10,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-11,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-01-12,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-13,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-01-14,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-01-15,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-17,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-18,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-01-19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-20,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-21,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-22,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2021-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-25,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-27,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-28,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-01-29,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-30,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-31,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-01,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-02,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
2021-02-03,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-04,0,0,0,0,0,1,22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-02-05,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-07,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-08,0,0,0,0,0,2,34,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2021-02-09,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-10,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-11,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-12,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-13,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-14,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-15,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-16,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-02-17,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-18,0,0,0,2,1,1,925,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
2021-02-19,0,0,0,0,0,0,92,0,54,58.7,54,0,0,0,0,0,0,0,0,0,0,0
2021-02-20,0,0,0,0,0,0,44,0,1,2.27,0,0,1,0,0,0,0,0,0,0,0,0
2021-02-21,0,0,0,0,0,0,31,0,2,6.45,1,1,0,0,0,0,0,0,0,0,0,0
2021-02-22,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-23,0,0,0,0,0,0,3,0,2,66.67,1,0,1,0,0,0,0,0,0,0,0,0
2021-02-24,0,0,0,0,0,0,14,0,1,7.14,1,0,0,0,0,0,0,0,0,0,0,0
2021-02-25,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-26,0,0,0,0,0,0,1,0,1,100,1,0,0,0,0,0,0,0,0,0,0,0
2021-02-27,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-02-28,0,0,0,0,0,0,1,0,1,100,1,0,0,0,0,0,0,0,0,0,0,0
2021-03-01,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0
2021-03-02,0,0,0,2,1,2,1487,0,1,0.07,1,0,0,1,0,1,0,0,2,0,0,0
2021-03-03,0,0,0,0,0,2,124,0,4,3.23,4,0,0,0,0,0,0,0,2,0,0,0
2021-03-04,0,0,0,0,0,0,13,0,16,123.08,16,0,0,0,0,0,0,0,0,0,0,0
2021-03-05,0,0,0,0,0,0,11,0,9,81.82,9,0,0,0,0,0,0,0,0,0,0,0
2021-03-06,0,0,0,0,0,0,6,0,7,116.67,7,0,0,0,0,0,0,0,0,0,0,0
2021-03-07,0,0,0,0,0,0,8,0,4,50,4,0,0,0,0,0,0,0,0,0,0,0
2021-03-08,0,0,0,0,0,0,30,0,5,16.67,5,0,0,0,0,0,0,0,0,0,0,0
2021-03-09,0,0,0,0,0,0,3,0,3,100,3,0,0,0,0,0,0,0,0,0,0,0
2021-03-10,0,0,0,0,0,0,10,0,3,30,3,0,0,0,0,0,0,0,0,0,0,0
2021-03-11,0,0,0,0,0,0,4,0,2,50,2,0,0,0,0,0,0,0,0,0,0,0
2021-03-12,0,0,0,0,0,0,4,0,3,75,3,0,0,0,0,0,0,0,0,0,0,0
2021-03-13,0,0,0,0,0,0,23,0,1,4.35,1,0,0,0,0,0,0,0,0,0,0,0
2021-03-14,0,0,0,0,0,0,17,0,3,17.65,2,1,0,0,0,0,0,0,0,0,0,0
2021-03-15,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-16,0,0,0,0,0,1,1,0,1,100,1,0,0,0,0,0,0,0,1,0,0,0
2021-03-17,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-03-18,0,0,0,0,0,0,74,0,1,1.35,1,0,0,0,0,0,0,0,0,0,0,0
2021-03-19,0,0,0,0,0,1,102,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-03-20,0,0,0,0,0,0,40,0,1,2.5,1,0,0,0,0,0,0,0,0,0,0,0
2021-03-21,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-22,0,0,0,0,0,1,25,0,1,4,1,0,0,0,0,0,0,0,1,0,0,0
2021-03-23,0,0,0,0,0,1,27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-03-24,0,0,0,0,0,1,20,0,1,5,1,0,0,0,0,0,0,0,1,0,0,0
2021-03-25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-03-26,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2021-03-27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-03-28,0,0,0,0,0,0,2,0,1,50,1,0,0,0,0,0,0,0,0,0,0,0
2021-03-29,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-30,0,0,0,0,0,1,26,0,1,3.85,1,0,0,0,0,0,0,0,1,0,0,0
2021-03-31,0,0,0,0,0,1,26,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-04-01,0,0,0,0,0,1,4,0,1,25,1,0,0,0,0,0,0,0,1,0,0,0
2021-04-02,0,0,0,0,0,0,11,0,1,9.09,1,0,0,0,0,0,0,0,0,0,0,0
2021-04-03,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-04,0,0,0,0,0,1,7,0,1,14.29,1,0,0,0,0,0,0,0,1,0,0,0
2021-04-05,0,0,0,0,0,3,14,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
2021-04-06,0,0,0,0,0,3,29,0,1,3.45,1,0,0,0,0,0,0,0,3,0,0,0
2021-04-07,0,0,0,0,0,1,51,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-04-08,0,0,0,0,0,0,6,0,1,16.67,1,0,0,0,0,0,0,0,0,0,0,0
2021-04-09,0,0,0,0,0,1,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-04-10,0,0,0,0,0,1,4,0,1,25,1,0,0,0,0,0,0,0,1,0,0,0
2021-04-11,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-12,0,0,0,0,0,2,75,0,1,1.33,1,0,0,0,0,0,0,0,2,0,0,0
2021-04-13,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021-04-14,0,0,0,0,0,1,251,0,1,0.4,1,0,0,0,0,0,0,0,1,0,0,0
2021-04-15,0,0,0,0,0,2,444,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
