hash,ward_code,local_authority_code,status,current,created,applied,offered,confirmed,rejected
15ca6dfb76dff8a70bb2,UNKNOWN,UNKNOWN,,False,2022-07-25,2022-09-23,,,
8f01f738b207af47f8fd,UNKNOWN,UNKNOWN,,False,2022-07-27,2022-09-23,,,
e328edb51e5376424f2a,UNKNOWN,UNKNOWN,,False,2022-07-29,2022-09-27,,,
3adf924cee6792b148e5,UNKNOWN,UNKNOWN,,False,2022-08-02,,,,
9929cfdbd616b5cc76aa,UNKNOWN,UNKNOWN,,False,2022-08-03,,,,
512e08821c0f17594cbb,UNKNOWN,UNKNOWN,,False,2022-08-05,,,,
a51a5a8a2169cc111490,E05010323,E06000014,FROZEN ACCOUNTS CP3,True,2022-08-05,2022-09-21,,,
84a98c9fbc48f1340c1e,E05001456,E08000036,FROZEN ACCOUNTS CP3,True,2022-08-06,2022-09-14,,,
a3a8d8fbf0ce2cbc052b,UNKNOWN,UNKNOWN,,False,2022-08-06,2022-09-23,2023-01-10,,
dc2bd77986bdd75071c7,E05011411,E08000035,confirmed,True,2022-08-06,2022-09-09,2022-11-26,2022-12-17,
0aa60690ee50d20e542b,E05011547,E08000035,confirmed,True,2022-08-08,2022-09-27,2022-10-15,2022-11-05,
12017a0ae01f25bed65c,UNKNOWN,UNKNOWN,,False,2022-08-08,2022-09-29,,,
130681362c18e668f9cd,E05011403,E08000035,FROZEN ACCOUNTS CP4,True,2022-08-08,2022-09-16,2022-11-26,,
18457bb44ee39086feb0,E05011413,E08000035,confirmed,True,2022-08-08,2022-09-09,2022-11-26,2022-12-17,
1a9ce58b59c25aea77cf,UNKNOWN,UNKNOWN,,False,2022-08-08,,,,
2e1b1b09a168894b7581,E05011390,E08000035,confirmed,True,2022-08-08,2022-09-09,2022-11-26,2022-12-17,
3b72b8e39aa338999d7a,UNKNOWN,UNKNOWN,FROZEN ACCOUNTS CP3,True,2022-08-08,2022-09-09,,,
4a1cc03e26ee43a13e7a,E05011397,E08000035,confirmed,True,2022-08-08,2022-11-01,2022-11-26,2022-12-17,
54e029aa3a363ff27105,UNKNOWN,UNKNOWN,,False,2022-08-08,,,,
5c38831e993e03a0f9ac,E05012841,E08000035,confirmed,True,2022-08-08,2022-09-09,2022-11-26,2022-12-17,
5d677f3fd4f11afa7c2f,UNKNOWN,UNKNOWN,,False,2022-08-08,,,,
63bc0347faf8efa0ae74,UNKNOWN,UNKNOWN,,False,2022-08-08,,,,
65cfc76ff53918935b56,E05011390,E08000035,FROZEN ACCOUNT CP5,True,2022-08-08,2022-09-23,2023-01-11,,
6c18793a7383979837b3,E05011547,E08000035,confirmed,True,2022-08-08,2022-09-09,2022-11-26,2022-12-17,
6c80917ca0312abfb686,E05011400,E08000035,confirmed,True,2022-08-08,2022-09-28,2022-10-15,2022-11-05,
6e0d0803359083ac4b74,E05011547,E08000035,confirmed,True,2022-08-08,2022-09-09,2022-11-26,2022-12-17,
7f868ddf76df95d9f5b7,UNKNOWN,UNKNOWN,,False,2022-08-08,2022-09-26,,,
