Artist_ID,Sponsored_Artists_Days,Other_Artists_Employed_Days,Performance_Or_Exhibition_Days,Sessions_For_Education_Training_Or_Participation,Artists_Employed,Participants,Live_Audience,Online_Audience
0,126,20.0,50,96,35,130,180,1500
1,56,9.0,1,40,7,33,120,1000
2,36,,2,12,4,18,1040,100
3,138,2.0,1,29,6,146,50,1000
4,51,19.0,1,5,4,70,100,380
5,20,11.0,9,3,19,17,275,85
6,70,16.0,1,20,3,12,30,0
7,40,20.0,2,48,10,45,250,1000
8,,,,,,,,
9,40,10.5,1,20,7,52,95,1000
10,120,25.0,16,10,12,650,700,30000
11,80,3.0,1,21,3,344,30,1000
12,,,,,,,,
13,27,7.0,2,15,20,45,300,3000
14,30,3.0,1,10,8,70,50,500
15,152,8.0,15,55,4,62,100,500
16,48,0.5,1,17,2,199,188,300
17,,,,,,,,500
18,35,4.0,1,20,6,50,50,1000
19,36,12.0,1,8,8,22,33,428
20,30,6.0,1,20,1,48,52,500
21,60,8.0,1,38,6,92,92,19105
