Artist_ID,Sponsored_Artists_Days,Other_Artists_Employed_Days,Performance_Or_Exhibition_Days,Sessions_For_Education_Training_Or_Participation,Artists_Employed,Participants,Live_Audience,Online_Audience
1,70,16,1,20,3,12,30,0
2,,,,,,,,500
3,,,,,,,,
4,36,12,1,8,8,22,33,428
5,152,8,15,55,4,62,100,500
6,30,6,1,20,1,48,52,500
7,126,20,50,96,35,130,180,1500
8,138,2,1,29,6,146,50,1000
9,48,0.5,1,17,2,199,188,300
10,36,,2,12,4,18,1040,100
11,27,7,2,15,20,45,300,3000
12,80,3,1,21,3,344,30,1000
13,60,8,1,38,6,92,92,19105
14,40,10.5,1,20,7,52,95,1000
15,30,3,1,10,8,70,50,500
16,40,20,2,48,10,45,250,1000
17,51,19,1,5,4,70,100,380
18,35,4,1,20,6,50,50,1000
19,120,25,16,10,12,650,700,30000
20,56,9,1,40,7,33,120,1000
21,,,,,,,,
22,20,11,9,3,19,17,275,85
