la_code,local_authority,population,count_total,sum_total,sum_total_per_capita
E06000001,Hartlepool,93836,19,392682,4.18
E06000002,Middlesbrough,141285,30,786005,5.56
E06000003,Redcar and Cleveland,137228,30,1067893,7.78
E06000004,Stockton-on-Tees,197419,53,1428629,7.24
E06000005,Darlington,107402,18,352844,3.29
E06000006,Halton,129759,9,243369,1.88
E06000007,Warrington,209397,19,383142,1.83
E06000008,Blackburn with Darwen,150030,33,954031,6.36
E06000009,Blackpool,138381,16,435426,3.15
E06000010,"Kingston upon Hull, City of",259126,94,3484502,13.45
E06000011,East Riding of Yorkshire,343201,39,775737,2.26
E06000012,North East Lincolnshire,159364,26,713979,4.48
E06000013,North Lincolnshire,172748,19,348569,2.02
E06000014,York,211012,58,1461947,6.93
E06000015,Derby,256814,65,3465287,13.49
E06000016,Leicester,354036,179,4292763,12.13
E06000017,Rutland,40476,5,42385,1.05
E06000018,Nottingham,337098,200,4179768,12.40
E06000019,"Herefordshire, County of",193615,51,2175158,11.23
E06000020,Telford and Wrekin,181322,5,59939,0.33
E06000021,Stoke-on-Trent,256622,47,1530167,5.96
E06000022,Bath and North East Somerset,196357,77,1865652,9.50
E06000023,"Bristol, City of",465866,499,11581920,24.86
E06000024,North Somerset,215574,53,1307452,6.06
E06000025,South Gloucestershire,287816,34,679906,2.36
E06000026,Plymouth,262839,75,2976966,11.33
E06000027,Torbay,136218,23,534662,3.93
E06000030,Swindon,222881,28,723271,3.25
E06000031,Peterborough,202626,36,1196688,5.91
E06000032,Luton,213528,72,1249111,5.85
E06000033,Southend-on-Sea,182773,51,775903,4.25
E06000034,Thurrock,175531,27,418733,2.39
E06000035,Medway,279142,50,1368768,4.90
E06000036,Bracknell Forest,124165,2,29700,0.24
E06000037,West Berkshire,158465,19,366580,2.31
E06000038,Reading,160337,69,1137035,7.09
E06000039,Slough,149577,26,602876,4.03
E06000040,Windsor and Maidenhead,151273,14,254908,1.69
E06000041,Wokingham,173945,19,311952,1.79
E06000042,Milton Keynes,270203,39,1071394,3.97
E06000043,Brighton and Hove,291738,468,9966868,34.16
E06000044,Portsmouth,214692,44,982210,4.57
E06000045,Southampton,252872,41,1694310,6.70
E06000046,Isle of Wight,142296,43,1072714,7.54
E06000047,County Durham,533149,75,1358100,2.55
E06000049,Cheshire East,386667,46,868350,2.25
E06000050,Cheshire West and Chester,343823,35,840957,2.45
E06000051,Shropshire,325415,78,1624575,4.99
E06000052,Cornwall,573299,247,6228895,10.87
E06000053,Isles of Scilly,2226,2,103000,46.27
E06000054,Wiltshire,504070,89,1624158,3.22
E06000055,Bedford,174687,43,651604,3.73
E06000056,Central Bedfordshire,294096,35,823210,2.80
E06000057,Northumberland,323820,83,2038656,6.30
E06000058,"Bournemouth, Christchurch and Poole",396989,47,813939,2.05
E06000059,Dorset,379791,71,1990915,5.24
E06000060,Buckinghamshire,547060,52,1243851,2.27
E06000061,North Northamptonshire,350448,16,531126,1.52
E06000062,West Northamptonshire,406733,52,1363470,3.35
E07000008,Cambridge,125063,102,1935494,15.48
E07000009,East Cambridgeshire,90172,14,394471,4.37
E07000010,Fenland,102080,8,126216,1.24
E07000011,Huntingdonshire,178985,18,253224,1.41
E07000012,South Cambridgeshire,160904,31,628407,3.91
E07000026,Allerdale,97831,27,398859,4.08
E07000027,Barrow-in-Furness,66726,18,536566,8.04
E07000028,Carlisle,108524,17,721937,6.65
E07000029,Copeland,68041,17,268222,3.94
E07000030,Eden,53754,19,417193,7.76
E07000031,South Lakeland,104905,52,1276972,12.17
E07000032,Amber Valley,128829,22,630226,4.89
E07000033,Bolsover,81305,13,251259,3.09
E07000034,Chesterfield,104930,17,282399,2.69
E07000035,Derbyshire Dales,72422,31,709643,9.80
E07000036,Erewash,115332,6,139272,1.21
