week_starting,audience_last,engagements_total,audience_gained_total,impressions_total
2021-12-27,3309,423,1,33372
2022-01-03,3310,873,13,50468
2022-01-10,3312,240,12,15436
2022-01-17,3322,2485,19,143643
2022-01-24,3376,14688,217,641560
2022-01-31,3429,8259,92,249189
2022-02-07,3460,6264,48,203670
2022-02-14,3466,734,30,35778
2022-02-21,3483,1926,43,101065
2022-02-28,8035,1283,52,87383
2022-03-07,24760,993,64,38844
2022-03-14,23254,1348,116,50918
2022-03-21,25002,1274,148,48620
2022-03-28,25109,1933,118,68730
2022-04-04,25251,1098,148,47840
2022-04-11,25368,1693,123,90021
2022-04-18,25462,885,105,32243
2022-04-25,25554,1159,101,45342
2022-05-02,25664,769,120,45552
2022-05-09,25789,1388,131,62457
2022-05-16,25939,1200,158,59561
2022-05-23,26062,950,132,46112
2022-05-30,26299,5552,254,123543
2022-06-06,26417,678,127,29133
2022-06-13,26619,2065,210,86931
2022-06-20,26744,2359,136,82772
2022-06-27,26907,2186,160,94776
2022-07-04,27034,1060,130,36377
2022-07-11,27148,1220,115,43379
2022-07-18,27290,1362,147,55836
2022-07-25,27480,1010,203,29752
2022-08-01,27604,610,134,17976
2022-08-08,27925,5352,299,159909
2022-08-15,28083,1278,161,31591
2022-08-22,28215,686,145,21493
2022-08-29,28318,186,96,14140
2022-09-05,28424,337,103,11848
2022-09-12,28476,46,47,1405
