week_starting,audience_last,engagements_total,net_audience_growth_total
2022-03-07,3493,117,1
2022-03-14,3496,394,3
2022-03-21,3496,160,1
2022-03-28,3499,238,4
2022-04-04,3514,75,6
2022-04-11,3513,177,-3
2022-04-18,3517,119,-1
2022-04-25,3520,54,0
2022-05-02,3526,120,3
2022-05-09,3533,162,4
2022-05-16,3539,237,4
2022-05-23,3546,146,5
2022-05-30,3550,228,-2
2022-06-06,3562,249,6
2022-06-13,3580,317,12
2022-06-20,3594,227,12
2022-06-27,3617,588,1
2022-07-04,3626,104,6
2022-07-11,3634,170,-1
2022-07-18,3648,395,6
2022-07-25,3667,247,15
2022-08-01,3673,32,4
