week_starting,audience_last,engagements_total,net_audience_growth_total
2021-12-27,0,4,0
2022-01-03,0,9,0
2022-01-10,0,0,0
2022-01-17,0,34,0
2022-01-24,0,653,0
2022-01-31,0,334,0
2022-02-07,0,70,0
2022-02-14,0,29,0
2022-02-21,0,166,0
2022-02-28,4544,79,24
2022-03-07,4576,46,32
2022-03-14,4607,11,31
2022-03-21,4638,105,31
2022-03-28,4664,140,26
2022-04-04,4727,38,63
2022-04-11,4756,68,29
2022-04-18,4786,77,30
2022-04-25,4815,57,29
2022-05-02,4841,68,26
2022-05-09,4883,156,42
2022-05-16,4922,165,39
2022-05-23,4962,75,40
2022-05-30,4985,127,23
2022-06-06,5030,71,45
2022-06-13,5050,7,20
2022-06-20,5066,122,16
2022-06-27,5077,180,11
2022-07-04,5082,59,5
2022-07-11,5098,11,16
2022-07-18,5117,19,19
2022-07-25,5154,44,37
2022-08-01,5170,17,16
