week_starting,audience_last,engagements_total,audience_gained_total,impressions_total
2022-04-04,4727,38,73,1788
2022-04-11,4756,68,35,3721
2022-04-18,4786,77,43,2615
2022-04-25,4815,57,37,3567
2022-05-02,4841,68,33,2033
2022-05-09,4883,156,49,4872
2022-05-16,4922,165,47,8301
2022-05-23,4962,75,51,5454
2022-05-30,4985,127,34,2138
2022-06-06,5030,71,61,4931
2022-06-13,5050,7,32,3959
2022-06-20,5066,122,25,4272
2022-06-27,5077,180,23,4712
2022-07-04,5082,59,15,2008
2022-07-11,5098,11,25,4741
2022-07-18,5117,19,30,2650
2022-07-25,5146,50,40,1942
2022-08-01,5164,53,31,1168
2022-08-08,5214,314,57,6536
2022-08-15,5228,150,26,2895
2022-08-22,5268,47,56,1548
2022-08-29,5292,5,33,638
2022-09-05,5323,75,42,1349
2022-09-12,5347,11,34,390
2022-09-19,5532,467,240,20414
2022-09-26,5586,223,54,1129
2022-10-03,5644,118,58,4304
2022-10-10,5751,650,116,15899
2022-10-17,5831,266,93,9852
2022-10-24,5961,829,143,21433
2022-10-31,6040,544,82,17345
