ward_code,applied,created
E05000813,1,0
E05000979,0,1
E05001341,1,2
E05001342,1,0
E05001343,1,1
E05001346,0,1
E05001350,1,0
E05001353,2,2
E05001354,1,0
E05001355,0,1
E05001356,1,2
E05001357,3,0
E05001358,0,1
E05001362,0,1
E05001366,1,3
E05001372,1,0
E05001374,1,0
E05001377,1,0
E05001391,2,0
E05001392,2,0
E05001393,2,0
E05001399,0,1
E05001403,2,1
E05001405,1,0
E05001408,0,1
E05001444,1,0
E05001446,1,0
E05001448,1,1
E05001455,2,0
E05001456,0,1
E05001460,0,1
E05001461,1,2
E05001462,1,2
E05001463,1,0
E05001700,1,0
E05008559,0,1
E05009665,1,0
E05010044,0,1
E05010056,1,0
E05010057,1,0
E05010058,2,1
E05010059,1,0
E05010318,1,0
E05010319,1,0
E05010321,0,1
E05010323,1,0
E05010326,0,1
E05010738,0,1
E05010774,0,1
E05011317,0,1
E05011327,2,0
E05011333,0,2
E05011335,0,1
E05011346,1,0
E05011363,0,1
E05011384,4,2
E05011385,7,2
E05011387,3,3
E05011388,4,4
E05011389,11,8
E05011390,20,17
E05011391,5,2
E05011394,5,3
E05011395,4,2
E05011396,5,2
E05011397,17,20
E05011399,15,11
E05011400,6,1
E05011401,6,2
E05011402,10,8
E05011403,29,32
E05011404,1,2
E05011405,10,8
E05011406,2,3
E05011407,3,4
E05011409,10,7
E05011410,4,1
E05011411,17,11
E05011413,10,9
E05011414,5,1
E05011547,15,9
E05011549,2,3
E05012647,8,4
E05012648,4,3
E05012841,13,5
E05012842,7,4
E05012996,0,1
E05013830,3,2
E05013831,7,2
UNKNOWN,30,34
