ward_code,awakening_attendance,ballot,roadshow_contact,signature_events,the_barn_residents,volunteering,ward_name,total
E05012841,95,50,11,187,0,42,Adel and Wharfedale,385
E05012842,107,57,9,370,0,46,Alwoodley,589
E05011384,58,24,11,124,0,31,Ardsley and Robin Hood,248
E05011385,65,42,8,159,0,32,Armley,306
E05012647,90,77,2,254,0,46,Beeston and Holbeck,469
E05011387,88,52,12,139,0,27,Bramley and Stanningley,318
E05011388,74,47,5,269,0,35,Burmantofts and Richmond Hill,430
E05011389,108,43,18,120,0,25,Calverley and Farsley,314
E05011390,388,130,20,712,0,81,Chapel Allerton,1331
E05011391,102,23,6,202,0,20,Cross Gates and Whinmoor,353
E05012648,69,38,2,96,0,22,Farnley and Wortley,227
E05013830,33,11,2,222,0,18,Garforth and Swillington,286
E05011394,39,20,5,244,0,11,Gipton and Harehills,319
E05011395,52,22,6,84,0,16,Guiseley and Rawdon,180
E05011396,28,17,3,80,0,21,Harewood,149
E05011397,285,107,22,589,7094,156,Headingley and Hyde Park,8253
E05011547,296,100,11,264,0,55,Horsforth,726
E05011399,209,48,6,315,45,62,Hunslet and Riverside,685
E05011400,41,13,5,313,0,25,Killingbeck and Seacroft,397
E05011401,23,20,19,192,0,12,Kippax and Methley,266
E05011402,250,79,16,357,0,84,Kirkstall,786
E05011403,163,99,12,375,0,307,Little London and Woodhouse,956
E05011404,36,27,8,110,0,15,Middleton Park,196
E05011405,254,81,3,563,0,54,Moortown,955
E05011406,38,26,16,100,0,18,Morley North,198
E05011407,45,42,13,112,0,23,Morley South,235
E05011549,30,18,3,166,0,17,Otley and Yeadon,234
E05011409,41,19,14,104,0,23,Pudsey,201
E05011410,42,27,4,120,0,14,Rothwell,207
E05011411,161,68,2,821,0,66,Roundhay,1118
E05013831,73,29,11,278,0,27,Temple Newsam,418
E05011413,247,68,26,430,0,63,Weetwood,834
E05011414,36,15,3,24,0,13,Wetherby,91
