ward_code,awakening_attendance,ballot,roadshow_contact,schools_learners,signature_events,the_barn_residents,volunteering,total,ward_name
E05012841,95,50,11,1415,187,0,42,1800,Adel and Wharfedale
E05012842,107,57,9,904,365,0,46,1488,Alwoodley
E05011384,58,24,11,65,120,0,31,309,Ardsley and Robin Hood
E05011385,65,42,8,458,153,0,32,758,Armley
E05012647,90,77,2,1307,245,0,46,1767,Beeston and Holbeck
E05011387,88,52,12,873,137,0,27,1189,Bramley and Stanningley
E05011388,74,47,5,635,257,0,35,1053,Burmantofts and Richmond Hill
E05011389,108,43,18,16,117,0,25,327,Calverley and Farsley
E05011390,388,130,20,727,696,0,81,2042,Chapel Allerton
E05011391,102,23,6,433,197,0,20,781,Cross Gates and Whinmoor
E05012648,69,38,2,403,88,0,22,622,Farnley and Wortley
E05013830,33,11,2,226,222,0,18,512,Garforth and Swillington
E05011394,39,20,5,69,202,0,11,346,Gipton and Harehills
E05011395,52,22,6,335,81,0,16,512,Guiseley and Rawdon
E05011396,28,17,3,308,78,0,21,455,Harewood
E05011397,285,107,22,852,589,7094,156,9105,Headingley and Hyde Park
E05011547,296,100,11,740,264,0,55,1466,Horsforth
E05011399,209,48,6,118,310,45,62,798,Hunslet and Riverside
E05011400,41,13,5,1053,306,0,25,1443,Killingbeck and Seacroft
E05011401,23,20,19,16,192,0,12,282,Kippax and Methley
E05011402,250,79,16,613,357,0,84,1399,Kirkstall
E05011403,163,99,12,661,358,0,307,1600,Little London and Woodhouse
E05011404,36,27,8,1322,107,0,15,1515,Middleton Park
E05011405,254,81,3,1668,553,0,54,2613,Moortown
E05011406,38,26,16,68,100,0,18,266,Morley North
E05011407,45,42,13,511,112,0,23,746,Morley South
E05011549,30,18,3,469,166,0,17,703,Otley and Yeadon
E05011409,41,19,14,415,101,0,23,613,Pudsey
E05011410,42,27,4,242,120,0,14,449,Rothwell
E05011411,161,68,2,117,815,0,66,1229,Roundhay
E05013831,73,29,11,843,276,0,27,1259,Temple Newsam
E05011413,247,68,26,1239,430,0,63,2073,Weetwood
E05011414,36,15,3,284,22,0,13,373,Wetherby
