la_code,authors_abroad,become_a_barn_raiser,become_a_wowser,dancers_of_leeds,early_career_music_promoters,gill_crawshaw_commission,leeds_on_wheels,leeds_young_film,lift_the_lid,meet_leeds_lab,nyt_playhouse_acting_course,off_the_curriculum,responses,barn_plus_wow_responses
E06000011,0,0,0,0,0,0,0,0,0,0,1,0,1,0
E06000014,0,2,0,0,0,0,0,0,4,0,1,0,7,2
E06000039,0,0,0,0,0,0,0,0,1,0,0,0,1,0
E06000046,0,0,0,0,0,0,0,0,1,0,0,0,1,0
E06000047,0,0,0,0,0,0,0,0,1,0,0,0,1,0
E06000056,0,0,0,0,0,0,0,0,1,0,0,0,1,0
E06000057,0,0,0,0,0,0,0,0,1,0,0,0,1,0
E07000031,0,0,0,0,0,0,0,0,0,0,2,0,2,0
E07000035,0,0,0,0,0,0,0,0,0,0,1,0,1,0
E07000126,0,0,0,0,0,0,0,0,0,0,1,0,1,0
E07000141,0,0,0,0,0,0,0,0,1,0,0,0,1,0
E07000164,0,1,0,0,0,0,0,0,0,0,1,0,2,1
E07000165,0,3,0,1,0,0,0,0,3,0,5,0,12,3
E07000169,0,2,0,0,0,0,0,0,2,0,1,0,5,2
E08000003,0,0,0,0,0,0,0,0,1,0,0,0,1,0
E08000004,0,0,0,0,0,0,0,0,0,0,1,0,1,0
E08000012,0,0,0,0,1,0,0,0,0,0,0,0,1,0
E08000016,0,0,0,0,0,0,0,0,0,0,1,0,1,0
E08000017,0,1,0,0,0,0,0,0,0,0,0,0,1,1
E08000019,0,2,0,0,0,0,0,0,0,0,1,0,3,2
E08000029,0,0,0,0,1,0,0,0,0,0,0,0,1,0
E08000032,0,32,5,0,0,0,2,0,8,0,8,0,55,37
E08000033,0,23,0,1,0,1,0,0,1,0,2,0,28,23
E08000034,0,18,0,0,1,0,1,0,8,0,2,0,30,18
E08000035,26,435,7,18,47,2,24,4,180,0,37,17,797,442
E08000036,0,23,1,0,0,1,1,0,4,0,9,0,39,24
E09000005,0,0,0,0,0,0,0,0,1,0,0,0,1,0
UNKNOWN,0,13,2,17,3,1,1,1,13,34,3,1,89,15
