ward_code,orders,tickets
E05000980,1,6
E05000988,2,4
E05001335,1,3
E05001344,1,6
E05001345,1,5
E05001346,2,11
E05001350,1,5
E05001354,3,13
E05001362,3,11
E05001364,1,5
E05001366,2,10
E05001368,1,5
E05001371,2,10
E05001377,1,3
E05001381,1,2
E05001382,1,3
E05001390,1,6
E05001391,1,5
E05001392,1,3
E05001393,1,4
E05001403,2,10
E05001405,1,4
E05001447,1,5
E05001458,1,5
E05001462,2,7
E05001704,1,2
E05001739,1,4
E05009331,1,1
E05009381,1,1
E05010056,2,2
E05010058,3,12
E05010323,1,3
E05010325,2,4
E05010626,1,2
E05011311,1,5
E05011323,1,4
E05011328,1,5
E05011329,1,5
E05011379,1,5
E05011384,13,48
E05011385,13,51
E05011387,12,44
E05011388,35,143
E05011389,5,20
E05011390,50,190
E05011391,28,115
E05011394,30,118
E05011395,3,10
E05011396,7,20
E05011397,32,129
E05011399,22,61
E05011400,59,224
E05011401,3,14
E05011402,15,65
E05011403,19,62
E05011404,13,62
E05011405,48,192
E05011406,8,38
E05011407,15,50
E05011409,13,44
E05011410,12,40
E05011411,128,495
E05011413,39,152
E05011414,7,19
E05011547,17,62
E05011549,25,77
E05012647,28,116
E05012648,7,21
E05012841,25,100
E05012842,47,204
E05012996,1,3
E05013830,10,35
E05013831,47,176
