week_ending,events,audience,cumulative_events,cumulative_audience
2023-04-28,1,150,1,150
2023-05-05,3,50,4,200
2023-05-12,0,0,4,200
2023-05-19,0,0,4,200
2023-05-26,1,0,5,200
2023-06-02,0,0,5,200
2023-06-09,0,0,5,200
2023-06-16,2,81,7,281
2023-06-23,0,0,7,281
2023-06-30,9,134,16,415
2023-07-07,0,0,16,415
2023-07-14,0,0,16,415
2023-07-21,0,0,16,415
2023-07-28,10,359,26,774
2023-08-04,0,0,26,774
2023-08-11,1,305,27,1079
2023-08-18,0,0,27,1079
2023-08-25,0,0,27,1079
2023-09-01,12,152,39,1231
2023-09-08,0,0,39,1231
2023-09-15,2,4,41,1235
2023-09-22,0,0,41,1235
2023-09-29,1,0,42,1235
2023-10-06,1,95,43,1330
2023-10-13,2,1000,45,2330
2023-10-20,0,0,45,2330
2023-10-27,0,0,45,2330
2023-11-03,1,0,46,2330
2023-11-10,0,0,46,2330
2023-11-17,1,20,47,2350
2023-11-24,1,20,48,2370
2023-12-01,1,30,49,2400
2023-12-08,1,609,50,3009
