ward_code,events,attendances
E05011384,1,0
E05011385,1,0
E05011387,1,0
E05011388,1,0
E05011389,1,0
E05011390,1,0
E05011391,1,0
E05011394,5,0
E05011395,1,0
E05011396,1,0
E05011397,15,710
E05011399,7,0
E05011400,2,0
E05011401,1,0
E05011402,1,0
E05011403,43,20
E05011404,1,0
E05011405,1,0
E05011406,1,0
E05011407,1,0
E05011409,2,0
E05011410,1,0
E05011411,4,0
E05011413,3,0
E05011414,3,0
E05011547,1,0
E05011549,3,0
E05012647,3,0
E05012648,1,0
E05012841,1,0
E05012842,1,0
E05013830,2,0
E05013831,2,0
UNKNOWN,14,4
