week_ending,events,audience,cumulative_events,cumulative_audience
2023-05-05,1,17,1,17
2023-05-12,0,0,1,17
2023-05-19,0,0,1,17
2023-05-26,0,0,1,17
2023-06-02,0,0,1,17
2023-06-09,5,195,6,212
2023-06-16,0,0,6,212
2023-06-23,0,0,6,212
2023-06-30,0,0,6,212
2023-07-07,0,0,6,212
2023-07-14,0,0,6,212
2023-07-21,0,0,6,212
2023-07-28,0,0,6,212
2023-08-04,2,236,8,448
2023-08-11,3,194,11,642
2023-08-18,2,160,13,802
2023-08-25,2,22,15,824
2023-09-01,0,0,15,824
2023-09-08,2,0,17,824
2023-09-15,3,34,20,858
2023-09-22,0,0,20,858
2023-09-29,1,0,21,858
2023-10-06,15,1729,36,2587
2023-10-13,0,0,36,2587
2023-10-20,3,160,39,2747
2023-10-27,10,166,49,2913
2023-11-03,4,233,53,3146
2023-11-10,7,397,60,3543
2023-11-17,5,225,65,3768
2023-11-24,7,0,72,3768
