date,pupil_engagements,cumulative_pupil_engagements,school_engagements,cumulative_school_engagements
2022-09-23,888,888,12,12
2022-09-30,0,888,0,12
2022-10-07,0,888,0,12
2022-10-14,0,888,0,12
2022-10-21,0,888,0,12
2022-10-28,0,888,0,12
2022-11-04,0,888,0,12
2022-11-11,488,1376,10,22
2022-11-18,284,1660,5,27
2022-11-25,254,1914,5,32
2022-12-02,0,1914,0,32
2022-12-09,0,1914,0,32
2022-12-16,0,1914,0,32
2022-12-23,0,1914,0,32
2022-12-30,0,1914,0,32
2023-01-06,182,2096,4,36
2023-01-13,120,2216,1,37
2023-01-20,484,2700,3,40
2023-01-27,514,3214,6,46
2023-02-03,693,3907,6,52
2023-02-10,269,4176,3,55
2023-02-17,200,4376,0,55
2023-02-24,517,4893,7,62
2023-03-03,394,5287,6,68
2023-03-10,830,6117,11,79
2023-03-17,275,6392,5,84
2023-03-24,199,6591,4,88
2023-03-31,1038,7629,21,109
2023-04-07,0,7629,0,109
2023-04-14,0,7629,0,109
2023-04-21,71,7700,17,126
2023-04-28,79,7779,1,127
2023-05-05,0,7779,0,127
2023-05-12,654,8433,21,148
2023-05-19,47,8480,5,153
2023-05-26,0,8480,0,153
2023-06-02,0,8480,0,153
2023-06-09,0,8480,5,158
2023-06-16,0,8480,4,162
2023-06-23,0,8480,0,162
