school,count_of_engagements
St Margaret's Church of England Voluntary Controlled Primary School,4
"Holy Rosary and St Anne's Catholic Primary School, a Voluntary Academy",4
Cookridge Primary School,3
Ingram Road Primary School,3
Lawns Park Primary School,3
Pudsey Primrose Hill Primary School,3
Shakespeare Primary School,3
Carr Manor Community School,2
Roundhay St John's Church of England Primary School,2
Rosebank Primary School,2
Leeds City College,2
Chapel Allerton Primary School,2
Beechwood Primary School,2
Cockburn School,2
Ebor Gardens Primary Academy,2
"St Joseph's Catholic Primary School, Wetherby",2
Bracken Edge Primary School,2
Rawdon St Peter's Church of England Voluntary Controlled Primary School,2
Penny Field School,1
Armley Park Primary School,1
Greenmount Primary School,1
Moor Allerton Hall Primary School,1
St Philip's Catholic Primary  School,1
Pudsey Waterloo Primary,1
Co-op Academy Beckfield,1
Westgate Primary School,1
East SILC John Jamieson,1
Summerfield Primary School,1
Stanningley Primary School,1
Robin Hood Primary School,1
Manor Wood Primary School,1
Cottingley Primary Academy,1
Cross Gates Primary School,1
Victoria Primary Academy,1
The New Bewerley Community Primary School,1
Broadgate Primary School,1
Seacroft Grange Primary School,1
East SILC Jack Clark,1
Dixons Trinity Chapeltown,1
Weetwood Primary School,1
Whinmoor St Paul's Church of England Primary School,1
Pudsey Lowtown Primary School,1
Shire Oak VC Primary School,1
Adel Primary School,1
Birchfield Primary School,1
Mount St Mary's Catholic High School,1
Trinity Academy Leeds,1
Cardinal Heenan Catholic High School,1
Cobden Primary School,1
"Holy Trinity Church of England Academy, Rothwell",1
Manston Primary,1
Middleton Primary School,1
Pool-in-Wharfedale Church of England Voluntary Controlled Primary School,1
Springwell Leeds Academy,1
St. Oswald's CofE Primary School,1
Temple Learning Academy,1
Hunslet Moor Primary School,1
Al Kauthar Girls Academy,1
Allerton Grange School,1
Allerton High School,1
Benton Park School,1
Cockburn John Charles Academy,1
The Ruth Gorse Academy,1
Cockburn Laurence Calvert Academy,1
Crawshaw Academy,1
Dixons Unity Academy,1
Guiseley School,1
Horsforth School,1
Lawnswood School,1
Leeds City Academy,1
Leeds East Academy,1
Leeds West Academy,1
Oulton Academy ,1
Ralph Thoresby School,1
Temple Moor High School,1
The Morley Academy,1
Primrose Lane Primary School,1
