week_ending,audience_last,engagements_total,audience_gained_total,impressions_total
2022-04-10,1717,172,27,2118
2022-04-17,1760,105,40,1148
2022-04-24,1778,102,19,1824
2022-05-01,1808,62,30,1022
2022-05-08,1847,125,43,1862
2022-05-15,1861,90,10,1260
2022-05-22,1884,53,24,1083
2022-05-29,1902,123,17,2277
2022-06-05,1941,319,44,4552
2022-06-12,1963,102,19,1226
2022-06-19,1986,151,24,2125
2022-06-26,2001,101,19,1081
2022-07-03,2049,378,52,4671
2022-07-10,2089,111,36,1584
2022-07-17,2122,343,33,4753
2022-07-24,2150,223,27,4055
2022-07-31,2187,279,41,3846
2022-08-07,2227,139,39,1806
2022-08-14,2271,221,32,2871
2022-08-21,2351,394,75,4785
2022-08-28,2381,104,30,1663
2022-09-04,2407,38,26,573
2022-09-11,2427,11,19,371
2022-09-18,2445,20,20,216
2022-09-25,2518,480,75,6595
2022-10-02,2593,219,75,3037
2022-10-09,2646,203,54,2974
2022-10-16,2694,257,53,4077
2022-10-23,2769,176,73,2343
2022-10-30,2819,357,52,4351
2022-11-06,2870,201,51,3765
2022-11-13,2915,317,42,4059
2022-11-20,2947,162,34,1895
2022-11-27,2984,400,39,5892
2022-12-04,3022,357,35,5820
2022-12-11,3074,605,52,7521
2022-12-18,3178,558,104,5743
2022-12-25,3218,272,42,3536
2023-01-01,3254,348,44,3213
2023-01-08,3378,1183,137,13651
2023-01-15,3564,730,169,9483
2023-01-22,3649,240,85,4275
2023-01-29,3717,46,71,1397
2023-02-05,3781,243,65,3260
2023-02-12,3857,297,75,3954
2023-02-19,3908,183,52,2427
2023-02-26,3962,227,56,3691
2023-03-05,4045,313,86,4117
2023-03-12,4118,76,72,1019
2023-03-19,4157,26,39,527
2023-03-26,4226,47,68,881
2023-04-02,4269,279,46,3044
2023-04-09,4302,229,45,3715
2023-04-16,0,453,38,6936
2023-04-23,0,229,44,4039
2023-04-30,0,491,68,6298
2023-05-07,4526,1713,75,7902
2023-05-14,4573,352,45,3787
2023-05-21,4617,127,47,2241
2023-05-28,4672,532,60,8366
2023-06-04,4717,184,41,4299
2023-06-11,4765,369,48,4767
2023-06-18,4799,443,33,3206
2023-06-25,4844,327,43,2165
2023-07-02,4873,111,32,1098
2023-07-09,4907,127,35,2172
2023-07-16,4936,471,31,4366
2023-07-23,4963,83,28,2041
2023-07-30,4996,28,32,946
2023-08-06,5026,34,30,619
2023-08-13,5053,24,30,555
2023-08-20,5072,184,21,2082
2023-08-27,5100,157,31,2875
2023-09-03,5126,67,28,1200
2023-09-10,5163,132,40,2021
2023-09-17,5201,152,37,2613
2023-09-24,5240,211,41,3706
2023-10-01,5293,111,55,1946
2023-10-08,5326,98,34,2172
2023-10-15,5348,200,24,2718
2023-10-22,5386,164,38,3343
2023-10-29,5418,35,32,1420
2023-11-05,5370,34,30,953
2023-11-12,5396,35,30,827
2023-11-19,5422,155,29,1717
2023-11-26,5446,278,26,2203
2023-12-03,5471,947,24,3484
2023-12-10,5495,239,24,1811
2023-12-17,5516,165,22,2147
2023-12-24,5527,81,13,2123
2023-12-31,5533,131,7,2398
