local_authority_code,created,applied,offered,confirmed,rejected
E06000005,2,2,1,0,0
E06000010,4,4,2,2,0
E06000011,1,1,1,1,0
E06000012,1,1,0,0,0
E06000014,7,7,3,1,0
E06000018,1,1,0,0,0
E06000031,1,1,1,0,0
E06000049,1,1,1,0,0
E06000050,1,1,1,0,0
E06000052,1,1,0,0,0
E06000058,1,1,1,1,0
E06000060,1,1,1,1,0
E06000062,1,1,1,0,0
E07000032,1,1,1,0,0
E07000095,1,1,1,0,0
E07000096,1,1,0,0,0
E07000098,1,1,0,0,0
E07000127,1,1,0,0,0
E07000128,1,1,0,0,0
E07000131,1,1,0,0,0
E07000163,2,2,2,1,0
E07000165,12,12,5,1,0
E07000167,1,1,1,1,0
E07000168,1,1,1,0,0
E07000169,7,7,5,1,0
E08000001,1,1,0,0,1
E08000003,4,4,3,2,0
E08000006,1,1,0,0,0
E08000007,1,1,0,0,0
E08000008,1,1,1,1,0
E08000016,1,1,1,0,0
E08000017,1,1,1,1,0
E08000021,1,1,0,0,0
E08000022,1,1,0,0,0
E08000025,2,2,2,0,0
E08000032,34,34,16,7,0
E08000033,9,9,1,0,1
E08000034,27,27,17,9,1
E08000035,1002,999,670,318,15
E08000036,24,24,14,6,0
E08000037,1,1,1,0,0
E09000008,1,1,0,0,0
E09000014,1,1,0,0,0
E09000029,1,1,0,0,0
E09000030,1,1,1,0,0
UNKNOWN,740,114,41,7,1
W06000023,1,1,1,0,0
