week_ending,created,applied,offered,confirmed,rejected
2022-08-05,1,0,0,0,0
2022-08-12,61,0,0,0,0
2022-08-19,93,0,0,0,0
2022-08-26,131,0,0,0,0
2022-09-02,156,0,0,0,0
2022-09-09,211,77,0,0,0
2022-09-16,253,146,0,0,0
2022-09-23,285,178,0,0,0
2022-09-30,316,260,0,0,0
2022-10-07,341,299,0,0,0
2022-10-14,370,320,0,0,0
2022-10-21,415,358,45,0,0
2022-10-28,445,391,45,0,0
2022-11-04,478,419,45,0,0
2022-11-11,518,463,45,35,0
2022-11-18,547,489,45,35,0
2022-11-25,571,513,45,35,0
2022-12-02,587,520,343,35,0
2022-12-09,604,547,367,35,0
2022-12-16,620,561,368,35,0
2022-12-23,641,588,368,257,0
2022-12-30,650,598,369,259,0
2023-01-06,684,622,389,259,0
2023-01-13,758,737,470,259,0
2023-01-20,787,769,485,259,0
2023-01-27,815,802,485,259,0
2023-02-03,840,829,486,259,0
2023-02-10,901,885,486,356,0
2023-02-17,964,915,486,356,0
2023-02-24,1007,961,486,356,0
2023-03-03,1044,961,486,356,0
2023-03-10,1105,961,486,356,0
2023-03-17,1176,1135,486,356,0
2023-03-24,1215,1200,849,356,21
2023-03-31,1262,1206,851,356,21
2023-04-07,1283,1206,851,356,21
2023-04-14,1317,1206,851,356,21
2023-04-21,1352,1206,851,356,21
2023-04-28,1368,1321,953,655,25
2023-05-05,1388,1321,953,655,25
2023-05-12,1404,1367,958,668,25
